match_id,scenario_id,mode,n_agents,turn_count,outcome,summary,accepted,timeouts,refusals,rejections,a_agent_id,a_adapter,a_model,a_label,a_say_count,a_attached_message_count,a_mean_msg_len,a_moves_total,a_places,a_breaks,a_picks,a_crafts,a_drops,a_final_inventory_size,b_agent_id,b_adapter,b_model,b_label,b_say_count,b_attached_message_count,b_mean_msg_len,b_moves_total,b_places,b_breaks,b_picks,b_crafts,b_drops,b_final_inventory_size,c_agent_id,c_adapter,c_model,c_label,c_say_count,c_attached_message_count,c_mean_msg_len,c_moves_total,c_places,c_breaks,c_picks,c_crafts,c_drops,c_final_inventory_size,d_agent_id,d_adapter,d_model,d_label,d_say_count,d_attached_message_count,d_mean_msg_len,d_moves_total,d_places,d_breaks,d_picks,d_crafts,d_drops,d_final_inventory_size,ch_apples_total_picked,ch_trees_alive,ch_trees_dead,em_public_picked,em_selfish_picked,pc_final_manhattan,pc_met,pc_met_at_turn,pd_CC,pd_CD,pd_DC,pd_DD,pd_encounters,pp_captor,pp_captured,pp_captured_at_turn,pp_victim,sb_active_turns,sb_blocks_placed_final,sb_cluster_compactness,sb_cluster_count,sb_cluster_dominant_block_share,sb_cluster_max_size,sb_cluster_max_vertical,sb_early_active_share,sb_final_inventory_total,sb_final_inventory_unique_types,sb_idle_streak_max,sb_intent_compliance,sb_intent_count,sb_intent_expected_count,sb_intent_final_text,sb_intent_t0_text,sb_intent_total_chars,sb_max_radius_from_start,sb_move_dir_entropy_bits,sb_placed_connectivity,sb_placed_type_entropy_bits,sb_placed_unique_types,sb_total_log_turns,sb_unique_cells_visited,sb_verb_entropy_bits,sb_verb_unique,sb_z_range_visited,sh_first_stag_capturer,sh_first_stag_turn,sh_hares_picked_total,sh_stag_captures,sn_at_turn,sn_reached,sn_target
bare_claude_blockworld_001,shelter_01,shelter,1,31,partial,"[walled] Deadline reached. not enclosed (open to world edge or agent not in air) (placed=3, walls=2, roof=yes)",30,70,0,0,bare_a,claude,sonnet,claude:sonnet,0,0,0,30,3,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockworld_aria_shelter02,shelter_02_relaxed,,1,31,loss,Deadline reached with no meaningful shelter. not enclosed (open to world edge or agent not in air),30,0,0,0,aria,,,?:?,0,0,0,30,9,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockworld_aria_shelter03,shelter_03_long,,1,51,incomplete,Ended before deadline: not enclosed (open to world edge or agent not in air),50,0,0,0,aria,,,?:?,0,0,0,50,8,21,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockworld_aria_shelter03b,shelter_03_long,,1,61,loss,"Deadline reached with no meaningful shelter. strict mode: uses natural terrain at (19,9,0)",60,0,0,0,aria,,,?:?,0,0,0,60,12,25,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockworld_aria_shelter04,shelter_04_minimal,,1,31,partial,Deadline reached. not enclosed (open to world edge or agent not in air) (placed blocks: 4),30,0,0,0,aria,,,?:?,0,0,0,30,8,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockworld_aria_shelter04_v2,shelter_04_minimal,,1,31,partial,Deadline reached. not enclosed (open to world edge or agent not in air) (placed blocks: 2),30,1,0,2,aria,,,?:?,0,0,0,30,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockworld_aria_shelter04_v3,shelter_04_minimal,,1,31,running,,30,0,0,0,aria,,,?:?,0,0,0,30,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockworld_aria_shelter04_v3b,shelter_04_minimal,,1,31,partial,"[walled] Deadline reached. not enclosed (open to world edge or agent not in air) (placed=3, walls=3, roof=no)",30,0,0,0,aria,,,?:?,0,0,0,30,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockworld_smoke_002,shelter_01,,1,11,incomplete,Ended before deadline: not enclosed (open to world edge or agent not in air),10,40,0,0,primo,,,?:?,0,0,0,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockworld_smoke_003,shelter_01,,1,31,loss,Deadline reached with no meaningful shelter. not enclosed (open to world edge or agent not in air),30,3,0,3,primo,,,?:?,0,0,0,30,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockworld_smoke_aria,shelter_01,,1,31,loss,"Deadline reached with no meaningful shelter. uses natural terrain at (4,25,2)",30,0,0,0,aria,,,?:?,0,0,0,30,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bw_aria_long_r1,shelter_04_long,,1,61,win,"Sheltered. Volume=1, floor=1, turn=60/60.",60,0,0,0,aria,,,?:?,0,0,0,60,9,10,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bw_aria_long_r2,shelter_04_long,,1,61,win,"Sheltered. Volume=1, floor=1, turn=60/60.",60,0,0,0,aria,,,?:?,0,0,0,60,15,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bw_aria_minimal_r1,shelter_04_minimal,,1,31,partial,"[walled] Deadline reached. not enclosed (open to world edge or agent not in air) (placed=2, walls=2, roof=no)",30,1,0,2,aria,,,?:?,0,0,0,30,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bw_aria_minimal_r2,shelter_04_minimal,,1,31,partial,"[walled] Deadline reached. not enclosed (open to world edge or agent not in air) (placed=2, walls=2, roof=no)",30,0,0,0,aria,,,?:?,0,0,0,30,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bw_aria_sandbox_r1,sandbox_01,sandbox,1,61,observation,[sandbox] placed=4 distance=20 block_types=['wood'] inventory={'wood': 2},60,11,0,0,aria,,,?:?,1,0,36.0,60,10,10,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,4,1.0,4,1.0,1,0,0.4,2,1,11,0.0,0,0,,,0,20,1.751,0.0,0.0,1,71,29,1.618,5,0,,,,,,,
bw_aria_sandbox_r2,sandbox_01,sandbox,1,61,observation,[sandbox] placed=3 distance=18 block_types=['wood'] inventory={'wood': 2},60,0,0,0,aria,,,?:?,1,0,50.0,60,12,12,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,3,1.0,3,1.0,1,0,0.5,2,1,0,0.0,0,0,,,0,20,1.743,0.0,0.0,1,60,27,1.59,5,0,,,,,,,
bw_aria_seed43,shelter_04_seed43,shelter,1,61,win,"Sheltered. Volume=1, floor=1, turn=60/60.",60,0,0,0,aria,,,?:?,0,0,0,60,20,15,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bw_aria_seed44,shelter_04_seed44,shelter,1,61,partial,"[walled] Deadline reached. not enclosed (open to world edge or agent not in air) (placed=5, walls=3, roof=no)",60,0,0,0,aria,,,?:?,0,0,0,60,22,21,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
